TargetGene,Ensembl_ID
LOC101928295,
CCDC155,ENSG00000161609
PTH2,ENSG00000142538
GFY,ENSG00000261949
SLC17A7,ENSG00000104888
PIH1D1,ENSG00000104872
ALDH16A1,ENSG00000161618
FLT3LG,ENSG00000090554
RPL13A,ENSG00000142541
RPL13AP5,ENSG00000236552
RPS11,ENSG00000142534
FCGRT,ENSG00000104870
RCN3,ENSG00000142552
NOSIP,ENSG00000142546
PRRG2,ENSG00000126460
PRR12,ENSG00000126464
RRAS,ENSG00000126458
SCAF1,ENSG00000126461
BCL2L12,ENSG00000126453
IRF3,ENSG00000126456
PRMT1,ENSG00000126457
ADM5,ENSG00000224420
CPT1C,ENSG00000169169
AP2A1,ENSG00000196961
FUZ,ENSG00000010361
MED25,ENSG00000104973
PTOV1,ENSG00000104960
PTOV1-AS1,ENSG00000268006
PTOV1-AS2,ENSG00000269352
PNKP,ENSG00000039650
AKT1S1,ENSG00000204673
TBC1D17,ENSG00000104946
ATF5,ENSG00000169136
NUP62,ENSG00000213024
IL4I1,ENSG00000104951
VRK3,ENSG00000105053
ZNF473,ENSG00000142528
LOC400710,
IZUMO2,ENSG00000161652
MYH14,ENSG00000105357
KCNC3,ENSG00000131398
NAPSA,ENSG00000131400
NR1H2,ENSG00000131408
POLD1,ENSG00000062822
SPIB,ENSG00000269404
MYBPC2,ENSG00000086967
EMC10,ENSG00000161671
FAM71E1,ENSG00000142530
JOSD2,ENSG00000161677
ASPDH,ENSG00000204653
LRRC4B,ENSG00000131409
SYT3,ENSG00000213023
C19orf81,ENSG00000235034
CLEC11A,ENSG00000105472
C19orf48,ENSG00000167747
LINC01869,ENSG00000180279
KLK1,ENSG00000167748
KLKP1,ENSG00000197588
KLK8,ENSG00000129455
KLK10,ENSG00000129451
KLK13,ENSG00000167759
CTU1,ENSG00000142544
SIGLEC17P,ENSG00000171101
CD33,ENSG00000105383
VSIG10L,ENSG00000186806
ETFB,ENSG00000105379
CLDND2,ENSG00000160318
NKG7,ENSG00000105374
C19orf84,ENSG00000262874
SIGLEC10,ENSG00000142512
CEACAM18,ENSG00000213822
SIGLEC6,ENSG00000105492
ZNF175,ENSG00000105497
LINC01530,
SPACA6,ENSG00000182310
SPACA6P-AS,ENSG00000269959
FPR3,ENSG00000187474
ZNF649,ENSG00000198093
ZNF613,ENSG00000176024
ZNF350,ENSG00000256683
ZNF615,ENSG00000197619
ZNF614,ENSG00000142556
ZNF432,ENSG00000256087
ZNF841,ENSG00000197608
ZNF616,ENSG00000204611
ZNF836,ENSG00000196267
PPP2R1A,ENSG00000105568
ZNF766,ENSG00000196214
ZNF480,ENSG00000198464
ZNF880,ENSG00000221923
ZNF528-AS1,ENSG00000269834
ZNF528,ENSG00000167555
ZNF578,ENSG00000258405
ZNF808,ENSG00000198482
ZNF701,ENSG00000167562
ZNF83,ENSG00000167766
ZNF611,ENSG00000213020
ZNF600,ENSG00000189190
ZNF28,ENSG00000198538
ZNF468,ENSG00000204604
ZNF320,ENSG00000182986
ZNF321P,ENSG00000213801
ZNF816-ZNF321P,ENSG00000221874
ZNF816,ENSG00000180257
ZNF702P,ENSG00000242779
ZNF160,ENSG00000170949
ZNF347,ENSG00000197937
ZNF665,ENSG00000197497
ZNF677,ENSG00000197928
ZNF845,ENSG00000213799
ZNF525,ENSG00000203326
ZNF765,ENSG00000196417
TPM3P9,ENSG00000241015
ZNF761,ENSG00000160336
ZNF813,ENSG00000198346
MYADM,ENSG00000179820
PRKCG,ENSG00000126583
CACNG7,ENSG00000105605
OSCAR,ENSG00000170909
NDUFA3,ENSG00000170906
PRPF31,ENSG00000105618
TFPT,ENSG00000105619
CNOT3,ENSG00000088038
LENG1,ENSG00000105617
TMC4,ENSG00000167608
MBOAT7,ENSG00000125505
TSEN34,ENSG00000170892
RPS9,ENSG00000170889
LENG8-AS1,ENSG00000226696
LENG8,ENSG00000167615
LENG9,ENSG00000275183
CDC42EP5,ENSG00000167617
LILRA2,ENSG00000239998
NCR1,ENSG00000189430
NLRP2,ENSG00000022556
GP6,ENSG00000088053
RDH13,ENSG00000160439
EPS8L1,ENSG00000131037
PPP1R12C,ENSG00000125503
TNNT1,ENSG00000105048
TNNI3,ENSG00000129991
DNAAF3,ENSG00000167646
SYT5,ENSG00000129990
PTPRH,ENSG00000080031
PPP6R1,ENSG00000105063
HSPBP1,ENSG00000133265
BRSK1,ENSG00000160469
TMEM150B,ENSG00000180061
KMT5C,ENSG00000133247
COX6B2,ENSG00000160471
IL11,ENSG00000095752
TMEM190,ENSG00000160472
TMEM238,ENSG00000233493
RPL28,ENSG00000108107
UBE2S,ENSG00000108106
SHISA7,ENSG00000187902
ISOC2,ENSG00000063241
ZNF628,ENSG00000197483
NAT14,ENSG00000090971
SSC5D,ENSG00000179954
SBK2,ENSG00000187550
SBK3,ENSG00000231274
ZNF579,ENSG00000218891
FIZ1,ENSG00000179943
ZNF524,ENSG00000171443
ZNF784,ENSG00000179922
ZNF580,ENSG00000213015
ZNF581,ENSG00000171425
CCDC106,ENSG00000173581
U2AF2,ENSG00000063244
EPN1,ENSG00000063245
NLRP4,ENSG00000160505
NLRP11,ENSG00000179873
LINC01864,ENSG00000267522
ZNF787,ENSG00000142409
ZNF444,ENSG00000167685
ZSCAN5A,ENSG00000131848
ZNF542P,ENSG00000240225
ZNF582,ENSG00000018869
ZNF582-AS1,ENSG00000267454
ZNF583,ENSG00000198440
ZNF667-AS1,ENSG00000166770
ZNF470,ENSG00000197016
ZNF264,ENSG00000083844
AURKC,ENSG00000105146
ZNF805,ENSG00000204524
LOC105372476,
ZNF460,ENSG00000197714
ZNF543,ENSG00000178229
ZNF304,ENSG00000131845
ZNF547,ENSG00000152433
TRAPPC2B,ENSG00000256060
ZNF548,ENSG00000188785
ZNF17,ENSG00000186272
ZNF749,ENSG00000186230
ZNF772,ENSG00000197128
ZNF419,ENSG00000105136
ZNF549,ENSG00000121406
ZNF550,ENSG00000251369
ZNF416,ENSG00000083817
ZIK1,ENSG00000171649
ZNF530,ENSG00000183647
ZNF134,ENSG00000213762
ZNF211,ENSG00000121417
ZNF551,ENSG00000204519
ZNF671,ENSG00000083814
ZNF776,ENSG00000152443
ZNF586,ENSG00000083828
ZNF552,ENSG00000178935
ZNF587B,ENSG00000269343
ZNF587,ENSG00000198466
ZNF417,ENSG00000173480
ZNF418,ENSG00000196724
ZNF256,ENSG00000152454
ZNF606,ENSG00000166704
LOC100128398,
ZSCAN18,ENSG00000121413
ZNF329,ENSG00000181894
ZNF274,ENSG00000171606
ZNF544,ENSG00000198131
ZNF8,ENSG00000278129
ZNF8-ERVK3-1,ENSG00000267216
ERVK3-1,ENSG00000142396
ZSCAN22,ENSG00000182318
LOC105372480,
LOC105372483,
ZNF497,ENSG00000174586
ZNF837,ENSG00000152475
RPS5,ENSG00000083845
RNF225,ENSG00000269855
ZNF584,ENSG00000171574
ZNF324B,ENSG00000249471
ZNF324,ENSG00000083812
ZNF446,ENSG00000083838
ZBTB45,ENSG00000119574
TRIM28,ENSG00000130726
CHMP2A,ENSG00000130724
UBE2M,ENSG00000130725
MZF1-AS1,ENSG00000267858
MZF1,ENSG00000099326
CENPBD1P1,ENSG00000213753
LINC00266-3,ENSG00000217929
DUSP22,ENSG00000112679
EXOC2,ENSG00000112685
GMDS,ENSG00000112699
GMDS-AS1,ENSG00000250903
LINC01600,ENSG00000164385
WRNIP1,ENSG00000124535
SERPINB1,ENSG00000021355
SERPINB9P1,ENSG00000230438
SERPINB9,ENSG00000170542
SERPINB6,ENSG00000124570
LINC01011,ENSG00000244041
NQO2,ENSG00000124588
HTATSF1P2,ENSG00000271361
LOC101927759,
RIPK1,ENSG00000137275
BPHL,ENSG00000137274
TUBB2A,ENSG00000137267
LOC100507194,
TUBB2B,ENSG00000137285
PSMG4,ENSG00000180822
PXDC1,ENSG00000168994
FAM50B,ENSG00000145945
PRPF4B,ENSG00000112739
ECI2,ENSG00000198721
LOC100507506,
CDYL,ENSG00000153046
LYRM4-AS1,ENSG00000272142
RPP40,ENSG00000124787
LYRM4,ENSG00000214113
FARS2,ENSG00000145982
RREB1,ENSG00000124782
SSR1,ENSG00000124783
CAGE1,ENSG00000164304
RIOK1,ENSG00000124784
DSP,ENSG00000096696
SNRNP48,ENSG00000168566
BMP6,ENSG00000153162
TXNDC5,ENSG00000239264
BLOC1S5-TXNDC5,ENSG00000259040
BLOC1S5,ENSG00000188428
EEF1E1-BLOC1S5,ENSG00000265818
EEF1E1,ENSG00000124802
SLC35B3,ENSG00000124786
LOC100506207,
HIPSTR,ENSG00000285278
TFAP2A-AS1,ENSG00000229950
TFAP2A,ENSG00000137203
MIR5689HG,ENSG00000229401
LINC00518,ENSG00000183674
C6orf52,ENSG00000137434
PAK1IP1,ENSG00000111845
TMEM14C,ENSG00000111843
TMEM14B,ENSG00000137210
SYCP2L,ENSG00000153157
ELOVL2-AS1,ENSG00000230314
ELOVL2,ENSG00000197977
SMIM13,ENSG00000224531
ERVFRD-1,ENSG00000244476
NEDD9,ENSG00000111859
TMEM170B,ENSG00000205269
ADTRP,ENSG00000111863
LOC101928253,
HIVEP1,ENSG00000095951
EDN1,ENSG00000078401
TBC1D7-LOC100130357,
TBC1D7,ENSG00000145979
GFOD1,ENSG00000145990
SIRT5,ENSG00000124523
NOL7,ENSG00000225921
RANBP9,ENSG00000010017
MCUR1,ENSG00000050393
RNF182,ENSG00000180537
CD83,ENSG00000112149
JARID2,ENSG00000008083
JARID2-AS1,ENSG00000235488
DTNBP1,ENSG00000047579
MYLIP,ENSG00000007944
GMPR,ENSG00000137198
LOC101928433,
ATXN1,ENSG00000124788
LOC101928491,
FAM8A1,ENSG00000137414
LOC105374952,
NUP153,ENSG00000124789
KIF13A,ENSG00000137177
TPMT,ENSG00000137364
KDM1B,ENSG00000165097
DEK,ENSG00000124795
LOC100506885,
MBOAT1,ENSG00000172197
E2F3,ENSG00000112242
CDKAL1,ENSG00000145996
SOX4,ENSG00000124766
NRSN1,ENSG00000152954
DCDC2,ENSG00000146038
MRS2,ENSG00000124532
ALDH5A1,ENSG00000112294
KIAA0319,ENSG00000137261
TDP2,ENSG00000111802
ACOT13,ENSG00000112304
C6orf62,ENSG00000112308
GMNN,ENSG00000112312
CARMIL1,ENSG00000079691
SCGN,ENSG00000079689
HIST1H2AA,ENSG00000164508
HIST1H2BA,ENSG00000146047
TRIM38,ENSG00000112343
HIST1H3A,ENSG00000275714
HIST1H4A,ENSG00000278637
HIST1H4B,ENSG00000278705
HIST1H3B,ENSG00000274267
HIST1H2AB,ENSG00000278463
HIST1H1C,ENSG00000187837
HFE,ENSG00000010704
HIST1H4C,ENSG00000197061
HIST1H2BC,ENSG00000180596
HIST1H2AC,ENSG00000180573
HIST1H1E,ENSG00000168298
HIST1H2BD,ENSG00000158373
HIST1H4D,ENSG00000277157
HIST1H3D,ENSG00000197409
HIST1H2AD,ENSG00000196866
HIST1H2BF,ENSG00000277224
HIST1H4E,ENSG00000276966
HIST1H2BG,ENSG00000273802
HIST1H2AE,ENSG00000277075
HIST1H1D,ENSG00000124575
HIST1H3F,ENSG00000277775
HIST1H2BH,ENSG00000275713
HIST1H4H,ENSG00000158406
BTN3A2,ENSG00000186470
BTN2A2,ENSG00000124508
BTN3A1,ENSG00000026950
BTN2A3P,ENSG00000124549
BTN3A3,ENSG00000111801
BTN2A1,ENSG00000112763
BTN1A1,ENSG00000124557
HCG11,ENSG00000228223
HMGN4,ENSG00000182952
LOC105374988,
ABT1,ENSG00000146109
ZNF322,ENSG00000181315
GUSBP2,ENSG00000241549
LINC00240,ENSG00000224843
LOC100270746,
HIST1H2BJ,ENSG00000124635
HIST1H2AG,ENSG00000196787
HIST1H4I,ENSG00000276180
HIST1H2BK,ENSG00000197903
HIST1H2AH,ENSG00000274997
PRSS16,ENSG00000112812
ZNF391,ENSG00000124613
ZNF184,ENSG00000096654
LINC01012,ENSG00000281706
HIST1H2BL,ENSG00000185130
HIST1H2AI,ENSG00000196747
HIST1H3H,ENSG00000278828
HIST1H2AJ,ENSG00000276368
HIST1H2BM,ENSG00000273703
HIST1H4J,ENSG00000197238
HIST1H4K,ENSG00000273542
HIST1H2AK,ENSG00000275221
HIST1H2BN,ENSG00000233822
HIST1H2AL,ENSG00000276903
HIST1H1B,ENSG00000184357
HIST1H3J,ENSG00000197153
HIST1H2AM,ENSG00000278677
HIST1H2BO,ENSG00000274641
ZNF165,ENSG00000197279
ZSCAN16-AS1,ENSG00000269293
ZKSCAN8,ENSG00000198315
ZNF192P1,ENSG00000226314
TOB2P1,ENSG00000176933
ZSCAN9,ENSG00000137185
ZKSCAN4,ENSG00000187626
ZSCAN26,ENSG00000197062
PGBD1,ENSG00000137338
ZSCAN31,ENSG00000235109
ZKSCAN3,ENSG00000189298
ZSCAN12,ENSG00000158691
ZSCAN23,ENSG00000187987
GPX5,ENSG00000224586
LINC01623,ENSG00000225595
HCG14,ENSG00000224157
TRIM27,ENSG00000204713
LINC01556,ENSG00000204709
ZNF311,ENSG00000197935
MAS1L,ENSG00000204687
GABBR1,ENSG00000204681
HLA-F-AS1,ENSG00000214922
HCG9,ENSG00000204625
HCG8,ENSG00000204623
ZNRD1ASP,ENSG00000204623
ZNRD1,ENSG00000066379
PPP1R11,ENSG00000204619
RNF39,ENSG00000204618
TRIM15,ENSG00000204610
TRIM26,ENSG00000234127
HCG17,ENSG00000270604
TRIM39,ENSG00000204599
HCG18,ENSG00000231074
RPP21,ENSG00000241370
HLA-E,ENSG00000204592
PRR3,ENSG00000204576
GNL1,ENSG00000204590
ABCF1,ENSG00000204574
PPP1R10,ENSG00000204569
MRPS18B,ENSG00000204568
ATAT1,ENSG00000137343
C6orf136,ENSG00000204564
DHX16,ENSG00000204560
PPP1R18,ENSG00000146112
NRM,ENSG00000137404
MDC1,ENSG00000137337
TUBB,ENSG00000196230
FLOT1,ENSG00000137312
IER3,ENSG00000137331
HCG20,ENSG00000228022
LOC105375014,
DDR1,ENSG00000204580
GTF2H4,ENSG00000213780
VARS2,ENSG00000137411
SFTA2,ENSG00000196260
DPCR1,ENSG00000168631
PSORS1C1,ENSG00000204540
CCHCR1,ENSG00000204536
TCF19,ENSG00000137310
HCG27,ENSG00000206344
HLA-C,ENSG00000204525
MICA,ENSG00000204520
LINC01149,ENSG00000230174
HCP5,ENSG00000206337
MICB,ENSG00000204516
MCCD1,ENSG00000204511
DDX39B-AS1,ENSG00000234006
DDX39B,ENSG00000198563
ATP6V1G2-DDX39B,ENSG00000254870
ATP6V1G2,ENSG00000213760
NFKBIL1,ENSG00000204498
TNF,ENSG00000232810
LTB,ENSG00000227507
LST1,ENSG00000204482
NCR3,ENSG00000204475
AIF1,ENSG00000204472
PRRC2A,ENSG00000204469
APOM,ENSG00000204444
BAG6,ENSG00000204463
C6orf47,ENSG00000204439
GPANK1,ENSG00000204438
CSNK2B,ENSG00000204435
LY6G5B,ENSG00000240053
LY6G5C,ENSG00000204428
ABHD16A,ENSG00000204427
LY6G6F,ENSG00000204424
LY6G6E,ENSG00000255552
LY6G6D,ENSG00000244355
LY6G6C,ENSG00000204421
MPIG6B,ENSG00000204420
DDAH2,ENSG00000213722
CLIC1,ENSG00000213719
MSH5,ENSG00000204410
MSH5-SAPCD1,ENSG00000255152
SAPCD1,ENSG00000228727
VWA7,ENSG00000204396
VARS,ENSG00000204394
LSM2,ENSG00000204392
HSPA1L,ENSG00000204390
HSPA1A,ENSG00000204389
HSPA1B,ENSG00000204388
C6orf48,ENSG00000204387
NEU1,ENSG00000204386
EHMT2,ENSG00000204371
ZBTB12,ENSG00000204366
C2-AS1,ENSG00000281756
CFB,ENSG00000243649
SKIV2L,ENSG00000204351
NELFE,ENSG00000204356
DXO,ENSG00000204348
TNXB,ENSG00000168477
ATF6B,ENSG00000213676
FKBPL,ENSG00000204315
PRRT1,ENSG00000204314
PPT2,ENSG00000221988
PPT2-EGFL8,ENSG00000258388
LOC100507547,
AGPAT1,ENSG00000204310
RNF5,ENSG00000204308
AGER,ENSG00000204305
PBX2,ENSG00000204304
GPSM3,ENSG00000213654
LOC101929163,
HLA-DRA,ENSG00000204287
TAP2,ENSG00000204267
PSMB8-AS1,ENSG00000204261
PSMB8,ENSG00000204264
TAP1,ENSG00000168394
PSMB9,ENSG00000240065
HLA-DMB,ENSG00000242574
HLA-DMA,ENSG00000204257
BRD2,ENSG00000204256
HLA-DPB1,ENSG00000223865
HLA-DPA1,ENSG00000231389
COL11A2,ENSG00000204248
RXRB,ENSG00000204231
SLC39A7,ENSG00000112473
HSD17B8,ENSG00000204228
RING1,ENSG00000204227
HCG25,ENSG00000232940
VPS52,ENSG00000223501
RPS18,ENSG00000231500
B3GALT4,ENSG00000235863
WDR46,ENSG00000227057
PFDN6,ENSG00000204220
RGL2,ENSG00000237441
TAPBP,ENSG00000231925
ZBTB22,ENSG00000236104
DAXX,ENSG00000204209
KIFC1,ENSG00000237649
PHF1,ENSG00000112511
CUTA,ENSG00000112514
SYNGAP1,ENSG00000197283
ZBTB9,ENSG00000213588
BAK1,ENSG00000030110
GGNBP1,ENSG00000204188
LINC00336,ENSG00000197251
ITPR3,ENSG00000096433
LOC101929188,
UQCC2,ENSG00000137288
LEMD2,ENSG00000161904
LINC01016,ENSG00000249346
GRM4,ENSG00000124493
HMGA1,ENSG00000137309
C6orf1,ENSG00000186577
NUDT3,ENSG00000272325
RPS10-NUDT3,ENSG00000270800
RPS10,ENSG00000124614
PACSIN1,ENSG00000124507
SPDEF,ENSG00000124664
LOC101929243,
C6orf106,ENSG00000196821
SNRPC,ENSG00000124562
UHRF1BP1,ENSG00000065060
TAF11,ENSG00000064995
ANKS1A,ENSG00000064999
TCP11,ENSG00000124678
SCUBE3,ENSG00000146197
ZNF76,ENSG00000065029
DEF6,ENSG00000023892
PPARD,ENSG00000112033
FANCE,ENSG00000112039
RPL10A,ENSG00000198755
TEAD3,ENSG00000007866
FKBP5,ENSG00000096060
LOC285847,
ARMC12,ENSG00000157343
CLPSL2,ENSG00000196748
CLPS,ENSG00000137392
LHFPL5,ENSG00000197753
SRPK1,ENSG00000096063
SLC26A8,ENSG00000112053
MAPK14,ENSG00000112062
BRPF3,ENSG00000096070
C6orf222,ENSG00000189325
ETV7,ENSG00000010030
KCTD20,ENSG00000112078
PXT1,ENSG00000179165
STK38,ENSG00000112079
SRSF3,ENSG00000112081
DINO,ENSG00000285244
CDKN1A,ENSG00000124762
CPNE5,ENSG00000124772
PPIL1,ENSG00000137168
C6orf89,ENSG00000198663
PI16,ENSG00000164530
MTCH1,ENSG00000137409
FGD2,ENSG00000146192
PIM1,ENSG00000137193
TBC1D22B,ENSG00000065491
TMEM217,ENSG00000172738
RNF8,ENSG00000112130
CMTR1,ENSG00000137200
CCDC167,ENSG00000198937
MDGA1,ENSG00000112139
ZFAND3,ENSG00000156639
BTBD9,ENSG00000183826
GLO1,ENSG00000124767
DNAH8,ENSG00000124721
SAYSD1,ENSG00000112167
KCNK5,ENSG00000164626
KIF6,ENSG00000164627
MOCS1,ENSG00000124615
TDRG1,ENSG00000204091
UNC5CL,ENSG00000124602
OARD1,ENSG00000124596
NFYA,ENSG00000001167
TREML2,ENSG00000112195
FOXP4,ENSG00000137166
FOXP4-AS1,ENSG00000234753
TFEB,ENSG00000112561
PGC,ENSG00000096088
FRS3,ENSG00000137218
PRICKLE4,ENSG00000278224
TOMM6,ENSG00000214736
USP49,ENSG00000164663
MED20,ENSG00000124641
BYSL,ENSG00000112578
CCND3,ENSG00000112576
TAF8,ENSG00000137413
MRPS10,ENSG00000048544
TRERF1,ENSG00000124496
UBR2,ENSG00000024048
TBCC,ENSG00000124659
LOC401261,
RPL7L1,ENSG00000146223
C6orf226,ENSG00000221821
PTCRA,ENSG00000171611
CNPY3,ENSG00000137161
CNPY3-GNMT,
PEX6,ENSG00000124587
PPP2R5D,ENSG00000112640
MEA1,ENSG00000124733
KLHDC3,ENSG00000124702
RRP36,ENSG00000124541
CUL7,ENSG00000044090
MRPL2,ENSG00000112651
KLC4,ENSG00000137171
PTK7,ENSG00000112655
SRF,ENSG00000112658
CUL9,ENSG00000112659
DNPH1,ENSG00000112667
TTBK1,ENSG00000146216
CRIP3,ENSG00000146215
ZNF318,ENSG00000171467
DLK2,ENSG00000171462
TJAP1,ENSG00000137221
LRRC73,ENSG00000204052
YIPF3,ENSG00000137207
POLR1C,ENSG00000171453
XPO5,ENSG00000124571
POLH,ENSG00000170734
GTPBP2,ENSG00000172432
MAD2L1BP,ENSG00000124688
RSPH9,ENSG00000172426
MRPS18A,ENSG00000096080
VEGFA,ENSG00000112715
C6orf223,ENSG00000181577
LOC101929705,
MRPL14,ENSG00000180992
TMEM63B,ENSG00000137216
LOC101929726,
SLC29A1,ENSG00000112759
HSP90AB1,ENSG00000096384
SLC35B2,ENSG00000157593
NFKBIE,ENSG00000146232
TMEM151B,ENSG00000178233
TCTE1,ENSG00000146221
AARS2,ENSG00000124608
SPATS1,ENSG00000249481
CDC5L,ENSG00000096401
SUPT3H,ENSG00000196284
CYP39A1,ENSG00000146233
SLC25A27,ENSG00000153291
TNFRSF21,ENSG00000146072
CD2AP,ENSG00000198087
ADGRF2,ENSG00000164393
ADGRF4,ENSG00000153294
MUT,ENSG00000146085
CENPQ,ENSG00000031691
RHAG,ENSG00000112077
PGK2,ENSG00000170950
CRISP1,ENSG00000124812
DEFB133,ENSG00000214643
MCM3,ENSG00000112118
PAQR8,ENSG00000170915
EFHC1,ENSG00000096093
TRAM2,ENSG00000065308
TRAM2-AS1,ENSG00000225791
LOC730101,
TMEM14A,ENSG00000096092
GSTA4,ENSG00000170899
ICK,ENSG00000112144
ELOVL5,ENSG00000012660
GCLC,ENSG00000001084
LOC101927136,
LOC101930010,
BEND6,ENSG00000151917
KIAA1586,ENSG00000168116
ZNF451,ENSG00000112200
LOC101927211,
BAG2,ENSG00000112208
RAB23,ENSG00000112210
PRIM2,ENSG00000146143
LINC00680-GUSBP4,ENSG00000283352
LINC00680,ENSG00000215190
PTP4A1,ENSG00000112245
LOC101928307,
ADGRB3,ENSG00000135298
LMBRD1,ENSG00000168216
EVADR,ENSG00000237643
FAM135A,ENSG00000082269
SDHAF4,ENSG00000154079
SMAP1,ENSG00000112305
KCNQ5,ENSG00000185760
KHDC1,ENSG00000135314
MTO1,ENSG00000135297
EEF1A1,ENSG00000156508
SLC17A5,ENSG00000119899
CD109,ENSG00000156535
LOC101928489,
COX7A2,ENSG00000112695
TMEM30A,ENSG00000112697
LOC100506804,
FILIP1,ENSG00000118407
SENP6,ENSG00000112701
MYO6,ENSG00000196586
MEI4,ENSG00000269964
IRAK1BP1,ENSG00000146243
PHIP,ENSG00000146247
HMGN3-AS1,ENSG00000270362
HMGN3,ENSG00000118418
LCA5,ENSG00000135338
SH3BGRL2,ENSG00000198478
TTK,ENSG00000112742
BCKDHB,ENSG00000083123
FAM46A,ENSG00000112773
IBTK,ENSG00000005700
UBE3D,ENSG00000118420
DOPEY1,ENSG00000083097
PGM3,ENSG00000013375
RWDD2A,ENSG00000013392
ME1,ENSG00000065833
PRSS35,ENSG00000146250
CYB5R4,ENSG00000065615
MRAP2,ENSG00000135324
CEP162,ENSG00000135315
TBX18,ENSG00000112837
SNX14,ENSG00000135317
SYNCRIP,ENSG00000135316
SNHG5,ENSG00000203875
HTR1E,ENSG00000168830
ZNF292,ENSG00000188994
SMIM8,ENSG00000111850
CFAP206,ENSG00000272514
SLC35A1,ENSG00000164414
RARS2,ENSG00000146282
ORC3,ENSG00000135336
AKIRIN2,ENSG00000135334
CNR1,ENSG00000118432
RNGTT,ENSG00000111880
PNRC1,ENSG00000146278
PM20D2,ENSG00000146281
UBE2J1,ENSG00000198833
ANKRD6,ENSG00000135299
LYRM2,ENSG00000083099
LOC101929057,
MDN1,ENSG00000112159
CASP8AP2,ENSG00000118412
BACH2,ENSG00000112182
MAP3K7,ENSG00000135341
MANEA-AS1,ENSG00000261366
MANEA,ENSG00000172469
UFL1,ENSG00000014123
GPR63,ENSG00000112218
NDUFAF4,ENSG00000123545
KLHL32,ENSG00000186231
MMS22L,ENSG00000146263
POU3F2,ENSG00000184486
FBXL4,ENSG00000112234
FAXC,ENSG00000146267
COQ3,ENSG00000132423
LOC101927365,
PNISR,ENSG00000132424
USP45,ENSG00000123552
TSTD3,ENSG00000279170
CCNC,ENSG00000112237
ASCC3,ENSG00000112249
HACE1,ENSG00000085382
LIN28B,ENSG00000187772
BVES,ENSG00000112276
POPDC3,ENSG00000132429
PREP,ENSG00000085377
PRDM1,ENSG00000057657
ATG5,ENSG00000057663
RTN4IP1,ENSG00000130347
QRSL1,ENSG00000130348
C6orf203,ENSG00000130349
BEND3,ENSG00000178409
PDSS2,ENSG00000164494
SOBP,ENSG00000112320
SEC63,ENSG00000025796
OSTM1,ENSG00000081087
SNX3,ENSG00000112335
LACE1,ENSG00000135537
FOXO3,ENSG00000118689
ARMC2,ENSG00000118690
SESN1,ENSG00000080546
CEP57L1,ENSG00000183137
LOC100996634,
CCDC162P,ENSG00000203799
CD164,ENSG00000135535
SMPD2,ENSG00000135587
PPIL6,ENSG00000185250
MICAL1,ENSG00000135596
ZBTB24,ENSG00000112365
AK9,ENSG00000155085
FIG4,ENSG00000112367
GPR6,ENSG00000146360
WASF1,ENSG00000112290
CDC40,ENSG00000168438
CDK19,ENSG00000155111
AMD1,ENSG00000123505
GTF3C6,ENSG00000155115
RPF2,ENSG00000197498
SLC16A10,ENSG00000112394
MFSD4B,ENSG00000173214
TRAF3IP2-AS1,ENSG00000231889
REV3L,ENSG00000009413
TRAF3IP2,ENSG00000056972
FYN,ENSG00000010810
FAM229B,ENSG00000203778
TUBE1,ENSG00000074935
RFPL4B,ENSG00000251258
MARCKS,ENSG00000277443
HDAC2-AS2,ENSG00000228624
HDAC2,ENSG00000196591
FRK,ENSG00000111816
NT5DC1,ENSG00000178425
TSPYL4,ENSG00000187189
DSE,ENSG00000111817
TSPYL1,ENSG00000189241
FAM26E,ENSG00000178033
RWDD1,ENSG00000111832
RSPH4A,ENSG00000111834
ZUFSP,ENSG00000153975
KPNA5,ENSG00000196911
DCBLD1,ENSG00000164465
GOPC,ENSG00000047932
LOC101927919,
NUS1,ENSG00000153989
SLC35F1,ENSG00000196376
CEP85L,ENSG00000111860
ASF1A,ENSG00000111875
FAM184A,ENSG00000111879
MAN1A1,ENSG00000111885
TBC1D32,ENSG00000146350
HSF2,ENSG00000025156
SERINC1,ENSG00000111897
PKIB,ENSG00000135549
SMPDL3A,ENSG00000172594
RNF217-AS1,ENSG00000236548
TPD52L1,ENSG00000111907
HDDC2,ENSG00000111906
HEY2,ENSG00000135547
NCOA7,ENSG00000111912
HINT3,ENSG00000111911
TRMT11,ENSG00000066651
CENPW,ENSG00000203760
RNF146,ENSG00000118518
ECHDC1,ENSG00000093144
PTPRK,ENSG00000152894
ARHGAP18,ENSG00000146376
L3MBTL3,ENSG00000198945
EPB41L2,ENSG00000079819
ARG1,ENSG00000118520
MED23,ENSG00000112282
ENPP3,ENSG00000154269
ENPP1,ENSG00000197594
STX7,ENSG00000079950
SLC18B1,ENSG00000146409
RPS12,ENSG00000112306
TBPL1,ENSG00000028839
SLC2A12,ENSG00000146411
SGK1,ENSG00000118515
LINC01010,ENSG00000236700
LOC101928304,
HBS1L,ENSG00000112339
MYB,ENSG00000118513
AHI1,ENSG00000135541
LINC00271,ENSG00000231028
MTFR2,ENSG00000146410
BCLAF1,ENSG00000029363
MAP7,ENSG00000135525
LOC101928429,
MAP3K5,ENSG00000197442
PEX7,ENSG00000112357
IFNGR1,ENSG00000027697
TNFAIP3,ENSG00000118503
LOC100130476,
PERP,ENSG00000112378
ARFGEF3,ENSG00000112379
HEBP2,ENSG00000051620
